# MASS_BEST   SFR_BEST     
  10.4089     0.37179      
  10.1914     0.418466     
  10.3964     0.0930237    
  10.8833     0.620123     
  10.0481     -0.0462551   
  9.787       0.342734     
  10.1738     -1.81981     
  9.45086     -0.396686    
  10.815      0.331099     
  10.4126     0.205265     
  10.2095     -0.869937    
  10.3843     0.121075     
  10.4556     0.152256     
  10.646      -0.109717    
  10.5459     -0.533574    
  10.5878     -16.6883     
  10.194      -0.235027    
  10.424      -0.493828    
  10.3576     -2.2102      
  10.3936     0.0748981    
  10.5242     0.150237     
  10.3976     0.538858     
  10.6879     0.593525     
  10.5553     -0.473699    
  10.5358     -0.165862    
  10.579      -0.608056    
  10.4944     -0.0259786   
  10.6054     1.15437      
  10.7315     0.138469     
  10.919      0.544963     
  10.7512     0.377358     
  10.1635     -0.78338     
  11.2645     1.29569      
  10.682      -5.84588     
  10.9953     0.291848     
  10.3246     -0.596379    
  9.86823     -2.69955     
  10.5988     0.619594     
  9.74242     -0.0937465   
  10.1431     -6.73411     
  10.4483     -8.59315     
  9.49555     -7.0323      
  10.3738     0.279464     
  11.0176     -0.223114    
  9.94216     -0.376575    
  10.5532     -0.202565    
  10.414      -0.614997    
  9.63402     -0.573311    
  10.5264     0.0602414    
  11.7954     1.53974      
  9.78723     0.17677      
  10.1245     -3.16161     
  9.80043     -1.23454E-4  
  11.8451     2.10909      
  10.6204     0.890049     
  10.6502     0.00275233   
  10.1434     -8.46488     
  10.6736     0.490598     
  10.9354     0.23193      
  10.0477     -1.23057     
  10.4474     0.00411029   
  10.5684     -0.618644    
  10.5067     0.412364     
  10.4592     -0.242411    
  9.87185     -8.73642     
  9.96945     -2.95748     
  10.2856     -0.847685    
  9.91273     -0.680311    
  10.3162     -0.601619    
  9.36456     -10.3267     
  9.33096     -3.59597     
  10.0255     0.552385     
  10.2372     -0.788372    
  11.1691     0.961632     
  10.4111     -0.668399    
  10.6481     0.440775     
  11.0753     1.27468      
  11.4966     1.59415      
  10.9059     3.15289      
  11.172      0.742929     
  10.5366     -0.811589    
  10.1317     -8.92248     
  10.5406     0.00210093   
  10.444      -0.904196    
  10.5519     -0.903764    
  9.41533     -0.679015    
  10.4207     0.559665     
  10.2909     0.381411     
  9.70657     -0.0322589   
  8.68158     -2.66661     
  10.9354     1.81287      
  11.1232     -10.0974     
  10.3324     0.471267     
  9.36759     -0.987613    
  10.7199     0.850251     
  11.1036     0.400174     
  9.76515     -3.16178     
  10.55       -0.313847    
  9.61354     -0.9795      
  11.1112     1.13205      
  8.69521     -99.0        
  9.49374     -5.95264     
  10.4477     -2.47919     
  10.3209     -0.335898    
  10.6568     -6.65289     
  10.4967     0.0676319    
  10.1012     -0.737085    
  11.0854     0.381991     
  10.6488     0.554471     
  10.3599     0.128185     
  9.92609     -1.49498     
  10.7423     0.313293     
  10.3007     -9.11431     
  10.8232     0.786077     
  10.5674     -0.425645    
  10.5794     -99.0        
  10.5546     -0.438465    
  10.4379     -21.1754     
  9.76694     -0.376051    
  10.1695     0.308421     
  10.2557     -0.118303    
  10.6406     -0.868868    
  10.7234     -0.517327    
  10.1801     0.115695     
  10.6761     -2.90935     
  8.6712      -1.06762     
  10.4191     -7.90286     
  10.337      -1.65664     
  10.7592     0.608165     
  10.1726     -0.00914808  
  11.1793     1.1475       
  11.1375     1.44435      
  10.4594     -2.46757     
  11.1772     -1.74976     
  10.5912     -12.4349     
  11.0796     0.230981     
  10.8933     0.409462     
  10.1943     0.163722     
  10.4525     -0.895713    
  10.4875     -10.7331     
  10.1968     -0.0664391   
  10.1956     0.214084     
  10.5925     -0.109143    
  10.4231     -0.0607834   
  11.084      -0.0492667   
  10.5156     -0.0783651   
  10.3355     -2.23223     
  10.6959     0.488585     
  10.1895     -2.37826     
  10.5534     -0.57988     
  10.3944     0.300018     
  11.1136     1.29693      
  11.0072     0.251476     
  10.501      0.126989     
  10.1982     0.219025     
  11.2452     1.27638      
  10.2786     -1.71503     
  10.341      -1.11466     
  10.4097     -1.44048     
  10.3953     -0.899165    
  10.8661     0.886923     
  10.6315     -10.2279     
  10.459      -17.9014     
  10.6256     0.031633     
  10.4033     -0.514493    
  9.47068     -4.52032     
  10.695      0.536593     
  11.1746     1.25404      
  10.2175     0.123122     
  11.3028     1.99079      
  10.2554     -0.264948    
  9.82431     -0.270031    
  8.79687     -1.30299     
  10.333      -1.01523     
  10.9701     0.526863     
  10.1392     0.463672     
  10.7664     -11.0913     
  10.6076     -0.74057     
  11.2676     1.17322      
  10.7591     -0.320371    
  10.5767     -9.11453     
  10.5413     -10.6793     
  9.8521      -0.184976    
  10.0902     -2.47759     
  10.1179     0.0235747    
  10.3093     -0.877727    
  10.8686     -2.41756     
  10.3956     0.188266     
  10.8952     0.35667      
  10.3763     -0.433529    
  11.0029     -0.291541    
  10.6321     0.258092     
  10.4989     0.235697     
  9.6415      -0.452844    
  10.9014     -0.070356    
  9.8396      -0.534405    
  10.3503     -0.17005     
  10.4202     -99.0        
  10.4953     0.4582       
  9.92303     -0.450969    
  9.26541     -0.0242921   
  10.9039     0.310829     
  10.3227     -8.71876     
  10.6797     -0.883585    
  9.89388     0.0463311    
  10.5558     0.348422     
  11.064      1.03225      
  11.2268     0.899881     
  10.6955     2.83651      
  10.656      -0.531052    
  9.42652     -0.494047    
  10.7845     -15.8548     
  10.7374     0.36339      
  11.3786     1.57801      
  10.3775     0.456914     
  10.1282     0.207644     
  10.4719     0.0515988    
  10.6115     0.0910824    
  10.2128     -1.99597     
  10.4374     -99.0        
  10.9378     1.07675      
  10.6749     -11.1829     
  9.91146     -0.462543    
  10.5121     -1.0511      
  10.2972     0.089841     
  10.8242     -8.59073     
  10.3815     -0.428334    
  10.753      -0.326425    
  9.96157     -0.484764    
  10.5191     -16.7571     
  10.4699     0.439346     
  10.2943     -0.698738    
  10.8471     0.254101     
  11.1525     1.41651      
  10.239      -2.32874     
  9.6005      -10.0908     
  10.8964     1.44536      
  10.363      0.471953     
  9.41894     -3.50799     
  10.4231     -11.4346     
  10.3853     -0.0986153   
  10.5027     -0.952976    
  10.5367     0.162719     
  10.5646     -0.407071    
  10.3258     -2.60111     
  10.0475     0.412283     
  9.68305     -0.117614    
  10.4653     -2.25723     
  9.25602     -0.0662248   
  10.3853     0.011286     
  12.8563     2.92466      
  10.2799     0.541076     
  10.6203     -0.189519    
  10.049      0.0119353    
  10.5002     -0.255558    
  10.4505     0.419942     
  10.396      -99.0        
  9.16899     -0.259615    
  10.6904     0.26134      
  10.2736     -0.0451123   
  10.485      0.16623      
  10.3604     0.32988      
  10.0797     -0.458862    
  10.2861     -1.27791     
  10.4765     0.439383     
  9.97281     -0.00638609  
  9.71804     -1.27506     
  10.4705     0.568761     
  10.0655     -2.86144     
  11.4012     1.43244      
  10.5106     0.191838     
  10.3056     -1.68796     
  10.7817     0.0259415    
  11.1457     0.826947     
  10.539      0.164971     
  10.8042     -0.382868    
  10.6464     0.180214     
  10.9971     0.991429     
  10.6744     -0.0813565   
  9.36123     -2.05984     
  10.3442     -2.58276     
  10.5621     0.243372     
  9.80657     -3.12036     
  10.266      0.0103197    
  10.207      0.169937     
  10.528      -14.6667     
  9.96773     0.21822      
  10.5489     0.569699     
  10.169      0.547314     
  9.45818     0.146192     
  10.4186     0.267563     
  10.3962     0.0692173    
  10.055      0.048677     
  10.3909     0.127667     
  10.5709     -0.241508    
  10.3585     0.379287     
  10.5484     0.0821855    
  10.8638     0.545087     
  10.6902     0.201191     
  10.3962     -0.737157    
  11.5226     1.63152      
  10.7389     -2.18803     
  10.68       -9.457       
  10.965      -1.9619      
  10.6979     0.159412     
  10.6473     0.108747     
  10.8032     0.101542     
  10.6155     -1.00152     
  11.7519     1.66872      
  10.5151     0.164673     
  11.0937     1.24619      
  10.8012     -0.00865429  
  10.9454     -0.349076    
  9.78817     -9.90311     
  11.0837     0.453145     
  10.6975     0.6604       
  10.6267     -0.149446    
  10.8017     0.317796     
  9.94526     0.194452     
  9.93193     3.87193      
  11.2747     0.900868     
  10.2967     0.588849     
  10.9114     0.318312     
  10.9077     0.204269     
  10.8543     0.00562774   
  11.0392     0.688727     
  10.4208     -0.117723    
  9.31066     -0.7211      
  10.4909     0.194427     
  11.0802     0.706238     
  9.66401     -0.599188    
  10.8327     0.40363      
  10.145      0.0618501    
  9.90944     -6.25792     
  10.5388     2.73477E-4   
  10.9033     0.34611      
  9.4388      -3.12897     
  9.43223     -0.306593    
  10.9265     0.223038     
  11.2035     0.572972     
  10.9742     0.600238     
  9.96518     -0.592037    
  10.0252     -0.56875     
  10.5158     0.372842     
  10.3341     0.413524     
  11.9784     2.16564      
  10.9799     0.661153     
  11.887      1.82939      
  9.13989     -3.78705     
  10.6766     0.0826277    
  11.2626     1.29383      
  10.7546     -9.38238     
  11.6653     1.76288      
  11.1626     0.568687     
  10.2002     -0.228811    
  10.8426     -0.451867    
  10.7828     0.353738     
  10.9163     -0.539431    
  10.4286     0.0548098    
  10.7106     0.172114     
  11.7028     1.49539      
  10.5289     0.0398771    
  10.6448     0.106225     
  10.5108     -0.460896    
  10.7593     -1.01874     
  9.86196     -3.42419     
  10.7804     -0.299042    
  11.3373     0.635609     
  10.2554     0.218308     
  10.9176     0.654451     
  10.8029     0.373829     
  11.8896     2.16748      
  10.3853     -16.8908     
  10.3975     0.536436     
  10.6325     0.235388     
  10.6587     -0.0429188   
  9.78712     -0.586877    
  8.94592     3.4959       
  9.64949     0.0539249    
  10.278      -0.388972    
  9.88858     -0.430159    
  10.747      0.30062      
  11.1562     -8.25881     
  11.1142     1.57548      
  10.3972     -0.141373    
  9.87582     -7.86661     
  12.0064     -9.57545     
  10.6849     0.255829     
  10.4585     0.364185     
  10.2141     -7.96118     
  10.0514     0.32317      
  9.21079     1.00199      
  11.2003     0.711272     
  11.0596     1.42942      
  10.4147     0.0642421    
  11.1587     0.675319     
  10.5691     0.218698     
  10.2964     -10.4781     
  10.2418     0.0907348    
  10.6624     0.288429     
  10.9835     0.352949     
  10.8702     0.787066     
  10.9116     -15.3664     
  11.0279     0.544522     
  10.2144     0.177348     
  10.7828     0.503184     
  11.1916     1.15456      
  10.259      0.338416     
  10.7527     0.433924     
  10.3847     -5.78266     
  10.0963     -0.875388    
  9.7549      -0.224297    
  10.7242     -0.0315348   
  10.0716     -0.44017     
  10.399      -6.12891     
  10.8702     -0.531728    
  10.8064     0.0302293    
  10.2994     -0.6184      
  11.1313     0.757496     
  10.9924     0.50346      
  10.3293     -1.87942     
  10.0741     -0.556453    
  11.3905     1.42176      
  11.0643     0.324458     
  10.3954     -0.630245    
  10.4568     -5.71053     
  11.1211     0.724033     
  10.3914     0.366915     
  10.967      -0.273774    
  10.7513     -0.650665    
  10.3546     -0.671034    
  10.5233     0.0942191    
  11.2765     1.29503      
  10.9906     1.76915      
  11.0798     0.339944     
  10.1584     -0.104837    
  10.949      0.24557      
  11.5169     1.5113       
  11.7404     1.55741      
  10.4069     0.00976143   
  9.91137     -0.600354    
  11.3007     0.379654     
  10.6702     0.00323161   
  10.5041     0.200804     
  10.1509     0.113817     
  10.7882     -0.129601    
  10.1259     -2.80107     
  11.3052     0.766718     
  10.6604     0.453056     
  10.2992     -0.348187    
  11.3564     0.435422     
  10.8821     0.0334776    
  10.6737     -99.0        
  10.2705     -0.758516    
  10.5813     -0.174506    
  10.8664     0.923583     
  10.5681     0.194092     
  10.8906     -0.188862    
  10.744      -0.177003    
  10.6216     0.15544      
  12.1911     1.48763      
  10.8986     -0.34212     
  9.98987     0.433457     
  11.0077     1.0262       
  10.2025     -0.226521    
  10.1536     -5.85916     
  10.462      0.143309     
  11.2808     0.613821     
  10.2127     0.170216     
  9.57376     -0.335734    
  10.6485     0.055421     
  10.4425     -0.367348    
  10.6485     0.21943      
  10.7833     0.244731     
  9.37816     -0.531332    
  10.2716     -0.0788624   
  11.742      1.83953      
  10.5414     -0.968022    
  11.1232     0.694152     
  10.9648     0.590765     
  10.6576     0.450252     
  10.2301     -1.19098     
  10.6605     0.478667     
  10.4901     -0.211528    
  10.5356     -0.240597    
  10.2472     0.152831     
  10.708      -0.0477408   
  11.1474     0.334927     
  10.6946     -99.0        
  10.5242     0.0580614    
  11.6143     1.93614      
  10.2155     -0.111447    
  10.326      0.301534     
  11.9265     1.36931      
  10.464      -0.128996    
  10.4869     0.112945     
  11.0341     0.637047     
  10.9797     0.385738     
  11.3741     1.09451      
  10.1537     -0.358059    
  10.3876     0.124427     
  10.737      0.253115     
  10.6332     0.369998     
  11.1176     0.651392     
  10.3981     2.75216      
  10.2429     -0.131095    
  10.4939     0.175163     
  10.5971     0.150755     
  10.2507     -0.0762094   
  9.69596     -0.89708     
  10.4366     -2.49031     
  10.4227     0.191005     
  9.86326     0.324508     
  11.0019     0.262067     
  10.2628     -0.248893    
  10.9733     0.342702     
  10.6723     0.641693     
  11.9507     2.04823      
  10.8461     0.144492     
  10.5436     0.100348     
  11.7674     1.46409      
  10.2337     0.19658      
  10.6329     0.45106      
  10.8013     -0.546867    
  11.1358     0.651906     
  10.7693     0.285398     
  10.6949     0.20588      
  10.554      -0.686763    
  10.5759     0.368527     
  10.829      -0.250448    
  10.5647     0.0812423    
  10.7883     0.359216     
  11.0001     0.905784     
  10.4764     -0.00748457  
  10.4663     -0.127668    
  10.6093     0.401933     
